---,SkillID,OwnerCharacterID,SkillSlot,TargetingType,EffectType,ProjectileMoveType,SpawnPattern,SpawnCount,Cooldown,DamageMultiplier,EffectRadius,Duration,ProjectileSpeed,ProjectileRange,FireInterval,PierceCount,DamageDecay,ElementTag,GAClass,SkillGEClass,StatusGEClass,PreviewActorClass,EffectActorClass,ProjectileClass,SkillFX,SkillIcon
SKILL_PAINTER_01,"SKILL_PAINTER_01","CHAR_PAINTER","1","Instant","RadialAoE","Linear","Single","1","3.000000","1.000000","350.000000","0.000000","0.000000","0.000000","0.000000","0","0.000000","(TagName=""Element.Ancient"")","/Game/GAS/GA/Character/Painter/GA_CharacterSkill_Painter01.GA_CharacterSkill_Painter01_C","/Game/GAS/GE/GE_Damage_KnockDown.GE_Damage_KnockDown_C","None","None","None","None","/Game/FX/Skill/Painter/NS_Painter_Skill01.NS_Painter_Skill01","/Game/Assets/UIAsset/rpg-aeromancer-skill-icons/1.1"
SKILL_PAINTER_02,"SKILL_PAINTER_02","CHAR_PAINTER","2","Instant","SelfBuff","Linear","Single","1","13.000000","1.000000","0.000000","5.000000","1200.000000","1500.000000","0.000000","0","0.000000","(TagName=""Element.Ancient"")","/Game/GAS/GA/Character/GA_CharacterSkill_SelfBuff.GA_CharacterSkill_SelfBuff_C","/Game/GAS/GE/Skill/Buff/GE_CharacterSkill_SelfBuff_ATK.GE_CharacterSkill_SelfBuff_ATK_C","None","None","None","None","/Game/FX/Skill/Painter/NS_Painter_Skill02.NS_Painter_Skill02","/Game/Assets/UIAsset/rpg-aeromancer-skill-icons/2.2"
SKILL_PAINTER_03,"SKILL_PAINTER_03","CHAR_PAINTER","3","AimPreview","Teleport","Linear","Single","1","3.000000","1.000000","0.000000","0.000000","1200.000000","1500.000000","0.000000","0","0.000000","(TagName=""Element.Ancient"")","/Game/GAS/GA/Character/Painter/GA_CharacterSkill_Painter03.GA_CharacterSkill_Painter03_C","None","None","/Game/Blueprint/Objects/SummonObjects/BP_SummonPreview_Wind.BP_SummonPreview_Wind_C","None","None","/Game/FX/Skill/Painter/NS_Painter_Skill03.NS_Painter_Skill03","/Game/Assets/UIAsset/rpg-aeromancer-skill-icons/3.3"
SKILL_PAINTER_04,"SKILL_PAINTER_04","CHAR_PAINTER","4","LaunchProjectile","Projectile","Pierce","Single","1","3.000000","1.200000","0.000000","0.000000","1200.000000","1500.000000","0.000000","10","0.000000","(TagName=""Element.Ancient"")","/Game/GAS/GA/Character/GA_CharacterSkill_SpawnProjectile.GA_CharacterSkill_SpawnProjectile_C","/Game/GAS/GE/GE_Damage_KnockDown.GE_Damage_KnockDown_C","None","None","None","/Game/Blueprint/Objects/Projectiles/CharacterSkill/BP_Painter_Skill04.BP_Painter_Skill04_C","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Shattering_Crystal_Owner_Cast.NS_Shattering_Crystal_Owner_Cast","/Game/Assets/UIAsset/rpg-aeromancer-skill-icons/4.4"
SKILL_PAINTER_05,"SKILL_PAINTER_05","CHAR_PAINTER","5","AimPreview","SpawnActor","Linear","Single","1","3.000000","1.000000","200.000000","1.000000","1200.000000","1500.000000","0.000000","0","0.000000","(TagName=""Element.Ancient"")","/Game/GAS/GA/Character/Painter/GA_CharacterSkill_Painter05.GA_CharacterSkill_Painter05_C","/Game/GAS/GE/GE_Damage.GE_Damage_C","/Game/GAS/GE/GE_Damage_KnockDown.GE_Damage_KnockDown_C","/Game/Blueprint/Objects/SummonObjects/BP_SummonPreview_Flame.BP_SummonPreview_Flame_C","/Game/Blueprint/Objects/GroundedEffectActor/BP_PullVortexActor.BP_PullVortexActor_C","None","/Game/FX/Skill/Painter/NS_Painter_Skill05.NS_Painter_Skill05","/Game/Assets/UIAsset/rpg-aeromancer-skill-icons/5.5"
SKILL_PAINTER_06,"SKILL_PAINTER_06","CHAR_PAINTER","6","LaunchProjectile","Projectile","HomingBounce","Single","1","3.000000","0.800000","0.000000","0.000000","1200.000000","1500.000000","0.200000","0","0.000000","(TagName=""Element.Ancient"")","/Game/GAS/GA/Character/Painter/GA_CharacterSkill_Painter06.GA_CharacterSkill_Painter06_C","/Game/GAS/GE/GE_Damage_KnockDown.GE_Damage_KnockDown_C","None","None","None","/Game/Blueprint/Objects/Projectiles/CharacterSkill/BP_Projectile_Painter06.BP_Projectile_Painter06_C","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Shattering_Crystal_Owner_Cast.NS_Shattering_Crystal_Owner_Cast","/Game/Assets/UIAsset/rpg-aeromancer-skill-icons/6.6"
SKILL_SORCERESS_01,"SKILL_SORCERESS_01","CHAR_SORCERESS","1","AimPreview","SpawnActor","Linear","Single","1","18.000000","0.600000","350.000000","6.000000","1200.000000","1500.000000","0.000000","0","0.000000","(TagName=""Element.Fire"")","/Game/GAS/GA/Character/GA_CharacterSkill_SpawnPreview.GA_CharacterSkill_SpawnPreview_C","None","None","/Game/Blueprint/Objects/SummonObjects/BP_SummonPreview_Flame.BP_SummonPreview_Flame_C","/Game/Blueprint/Objects/GroundedEffectActor/BP_GroundedEffectActor.BP_GroundedEffectActor_C","None","/Game/Assets/Free_Magic/VFX_Niagara/NS_Free_Magic_Circle_Once.NS_Free_Magic_Circle_Once","/Game/Assets/UIAsset/rpg-warlock-skill-icons/1.1"
SKILL_SORCERESS_02,"SKILL_SORCERESS_02","CHAR_SORCERESS","2","Instant","RadialAoE","Linear","Single","1","14.000000","1.400000","400.000000","0.000000","1200.000000","1500.000000","0.000000","0","0.000000","(TagName=""Element.Ice"")","/Game/GAS/GA/Character/GA_CharacterSkill_InstantAoE.GA_CharacterSkill_InstantAoE_C","None","None","None","None","None","/Game/Assets/LootandPickupVFXPack/LootVFX/Glows/RingsTheme/NS_RingsGlow02.NS_RingsGlow02","/Game/Assets/UIAsset/rpg-warlock-skill-icons/2.2"
SKILL_SORCERESS_03,"SKILL_SORCERESS_03","CHAR_SORCERESS","3","LaunchProjectile","Projectile","Linear","Single","1","8.000000","1.000000","0.000000","0.000000","1200.000000","1500.000000","0.000000","0","0.000000","(TagName=""Element.Thunder"")","/Game/GAS/GA/Character/GA_CharacterSkill_ProjectileSpawn.GA_CharacterSkill_ProjectileSpawn_C","None","None","None","None","None","/Game/Assets/Mixed_Magic_VFX_Pack/VFX/NS_Dark_Solo_Projectile.NS_Dark_Solo_Projectile","/Game/Assets/UIAsset/rpg-warlock-skill-icons/3.3"
SKILL_SORCERESS_04,"SKILL_SORCERESS_04","CHAR_SORCERESS","4","LaunchProjectile","Projectile","Linear","Single","1","10.000000","0.800000","0.000000","0.000000","1200.000000","1500.000000","0.000000","0","0.000000","(TagName=""Element.Ice"")","/Game/GAS/GA/Character/GA_CharacterSkill_ProjectileSpawn.GA_CharacterSkill_ProjectileSpawn_C","None","None","None","None","None","/Game/Assets/LootandPickupVFXPack/LootVFX/Glows/BeamTheme/NS_BeamGlow01.NS_BeamGlow01","/Game/Assets/UIAsset/rpg-warlock-skill-icons/4.4"
