---,CharacterID,DisplayName,Mesh,AnimBP,Portrait,DefaultWeaponID,BaseHP,BaseATK,BaseDEF,BaseMoveSpeed,BaseAttackSpeed,BaseCastingSpeed,BaseCriticalRate,BaseCriticalDamage,Grade,UnlockType,UnlockStageID,UnlockCost
CHAR_WARRIOR,"CHAR_WARRIOR","NSLOCTEXT(""DT_Character_Static_Data [DD58DF8BB959E205C742A6BF3BE5B6AA]"", ""CHAR_WARRIOR_DisplayName"", ""Default Warrior"")","None","None","/Game/Assets/GuiParts/RPGIcons/armor_icon.armor_icon","WPN_SHADOW_Lv1","200.000000","15.000000","20.000000","500.000000","1.000000","1.000000","0.050000","1.800000","R","DEFAULT","None","0.000000"
CHAR_MAGE,"CHAR_MAGE","NSLOCTEXT(""DT_Character_Static_Data [DD58DF8BB959E205C742A6BF3BE5B6AA]"", ""CHAR_MAGE_DisplayName"", ""Default Mage"")","None","None","/Game/etc/Text/cat_logo2.cat_logo2","WPN_SUMMON_LIGHTNING_Lv1","120.000000","25.000000","15.000000","620.000000","1.200000","1.000000","0.080000","1.500000","SR","STAGE_CLEAR","STG_004","0.000000"
CHAR_ROGUE,"CHAR_ROGUE","NSLOCTEXT(""DT_Character_Static_Data [DD58DF8BB959E205C742A6BF3BE5B6AA]"", ""CHAR_ROGUE_DisplayName"", ""Default Rogue"")","None","None","/Game/etc/Text/cat_logo.cat_logo","WPN_FIRESTAFF_Lv1","150.000000","18.000000","20.000000","700.000000","1.000000","1.000000","0.120000","1.400000","N","CURRENCY","None","0.000000"
CHAR_BEN,"CHAR_BEN","NSLOCTEXT(""DT_Character_Static_Data [DD58DF8BB959E205C742A6BF3BE5B6AA]"", ""CHAR_BEN_DisplayName"", ""Default Ben"")","None","None","/Game/etc/Text/cat_logo.cat_logo","WPN_ICESTAFF_Lv1","180.000000","20.000000","20.000000","600.000000","1.100000","1.000000","0.110000","1.200000","R","DEFAULT","None","0.000000"
CHAR_CHRIS,"CHAR_CHRIS","NSLOCTEXT(""[DD58DF8BB959E205C742A6BF3BE5B6AA]"", ""A90DD7D84E0B9F64E1AD7483C58C9BC8"", ""Default Knight"")","None","None","/Game/Assets/GuiParts/RPGIcons/armor_icon.armor_icon","WPN_SUMMON_Sword_Lv1","100.000000","10.000000","5.000000","600.000000","1.000000","1.000000","0.050000","1.500000","N","DEFAULT","None","0.000000"
CHAR_MERLIN,"CHAR_MERLIN","NSLOCTEXT(""[DD58DF8BB959E205C742A6BF3BE5B6AA]"", ""A3554B01434F28F4292EE19ECE50FA5E"", ""Legend MAGE"")","None","None","/Game/Assets/GuiParts/RPGIcons/skill_icon_03.skill_icon_03","WPN_SUMMON_LIGHTNING_Lv1","250.000000","20.000000","20.000000","600.000000","1.200000","1.200000","0.100000","1.500000","SSR","DEFAULT","None","0.000000"
CHAR_ARCHER,"CHAR_ARCHER","NSLOCTEXT(""[DD58DF8BB959E205C742A6BF3BE5B6AA]"", ""C0560D5643A99AEEB5FAADAB694A9A76"", ""Default Archer"")","None","None","/Game/Assets/GuiParts/RPGIcons/armor_icon.armor_icon","WPN_THUNDER_Lv1","130.000000","22.000000","10.000000","680.000000","1.100000","1.000000","0.150000","1.400000","N","DEFAULT","None","0.000000"
CHAR_PALADIN,"CHAR_PALADIN","NSLOCTEXT(""[DD58DF8BB959E205C742A6BF3BE5B6AA]"", ""1973A1144A59DD88794EE5958F26FCF6"", ""Default PALADIN"")","None","None","/Game/Assets/GuiParts/RPGIcons/armor_icon.armor_icon","WPN_SHADOW_Lv1","220.000000","12.000000","30.000000","480.000000","1.000000","1.000000","0.040000","1.800000","R","DEFAULT","None","0.000000"
CHAR_BERSERKER,"CHAR_BERSERKER","NSLOCTEXT(""[DD58DF8BB959E205C742A6BF3BE5B6AA]"", ""51408F2240982BCF06BB01978E6B629E"", ""Default BERSERKER"")","None","None","/Game/Assets/GuiParts/RPGIcons/armor_icon.armor_icon","WPN_FIRESTAFF_Lv1","170.000000","28.000000","8.000000","650.000000","1.000000","1.000000","0.100000","2.000000","R","CURRENCY","None","500.000000"
CHAR_NECRO,"CHAR_NECRO","NSLOCTEXT(""[DD58DF8BB959E205C742A6BF3BE5B6AA]"", ""FE4A405F43DB7DA206859DB4F4A8DEE9"", ""NECROMANCER"")","None","None","/Game/Assets/UIAsset/rpg-warlock-skill-icons/1.1","WPN_POISON_Lv1","110.000000","30.000000","12.000000","590.000000","1.000000","1.100000","0.090000","1.500000","SR","STAGE_CLEAR","STG_008","0.000000"
