---,PreferredRange,MaxAttackRange,ProjectileSpeed,ProjectileLifetime,ShockwaveRadius,ShockwaveDamage,ShockwaveCooldown,ShockwavePrepareTime,Phase2HPRatio,Phase2MoveSpeedMult,Phase2DamageMult,Phase2TransitionFX,Phase2TransitionMontage
ENM_Ranged_01,"280.000000","400.000000","700.000000","3.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.000000","1.000000","None","None"
ENM_Ranged_02,"350.000000","500.000000","600.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.000000","1.000000","None","None"
ENM_Ranged_03,"240.000000","350.000000","750.000000","2.500000","0.000000","0.000000","0.000000","0.000000","0.000000","1.000000","1.000000","None","None"
ENM_Ranged_04,"420.000000","600.000000","550.000000","5.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.000000","1.000000","None","None"
ENM_Ranged_05,"210.000000","300.000000","800.000000","2.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.000000","1.000000","None","None"
ENM_Ranged_06,"490.000000","700.000000","500.000000","6.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.000000","1.000000","None","None"
ENM_Elite_01,"320.000000","450.000000","650.000000","3.500000","0.000000","0.000000","0.000000","0.000000","0.000000","1.000000","1.000000","None","None"
ENM_Elite_02,"380.000000","500.000000","580.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.000000","1.000000","None","None"
ENM_Elite_03,"260.000000","350.000000","720.000000","2.800000","0.000000","0.000000","0.000000","0.000000","0.000000","1.000000","1.000000","None","None"
ENM_Elite_04,"420.000000","550.000000","520.000000","5.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.000000","1.000000","None","None"
ENM_Boss_01,"500.000000","800.000000","650.000000","4.000000","300.000000","60.000000","8.000000","1.500000","0.500000","1.300000","1.500000","None","None"
ENM_Boss_02,"600.000000","900.000000","600.000000","5.000000","350.000000","90.000000","10.000000","2.000000","0.500000","1.400000","1.800000","None","None"
ENM_Boss_03,"400.000000","700.000000","700.000000","3.500000","250.000000","45.000000","6.000000","1.200000","0.500000","1.200000","1.300000","None","None"
ENM_Boss_04,"700.000000","1000.000000","550.000000","6.000000","400.000000","130.000000","12.000000","2.500000","0.400000","1.500000","2.000000","None","None"
