---,EnemyID,MaxHP,MoveSpeed,AttackDamage,AttackCooldown,AttackRange,AIType,BehaviorTree,SpawnWeight,DropEXP,EnemyClass,bIsBoss
ENM_Melee_01,"ENM_Melee_01","500.000000","300.000000","10.000000","1.500000","120.000000","CHASE","/Game/Blueprint/Enemy/Melee/BT_MeleeEnemy.BT_MeleeEnemy","1.000000","10","/Game/Blueprint/Enemy/Melee/BP_MeleeEnemy.BP_MeleeEnemy_C","False"
ENM_Melee_02,"ENM_Melee_02","500.000000","250.000000","20.000000","1.500000","120.000000","CHASE","/Game/Blueprint/Enemy/Melee/BT_MeleeEnemy.BT_MeleeEnemy","0.500000","25","/Game/Blueprint/Enemy/Melee/BP_MeleeEnemy.BP_MeleeEnemy_C","False"
ENM_Melee_03,"ENM_Melee_03","800.000000","280.000000","30.000000","1.200000","120.000000","CHASE","/Game/Blueprint/Enemy/Melee/BT_MeleeEnemy.BT_MeleeEnemy","0.300000","40","/Game/Blueprint/Enemy/Melee/BP_MeleeEnemy.BP_MeleeEnemy_C","False"
ENM_Melee_04,"ENM_Melee_04","1500.000000","200.000000","50.000000","2.000000","120.000000","CHASE","/Game/Blueprint/Enemy/Melee/BT_MeleeEnemy.BT_MeleeEnemy","0.100000","80","/Game/Blueprint/Enemy/Melee/BP_MeleeEnemy.BP_MeleeEnemy_C","False"
ENM_Melee_05,"ENM_Melee_05","350.000000","380.000000","8.000000","1.000000","120.000000","CHASE","/Game/Blueprint/Enemy/Melee/BT_MeleeEnemy.BT_MeleeEnemy","1.500000","8","/Game/Blueprint/Enemy/Melee/BP_MeleeEnemy.BP_MeleeEnemy_C","False"
ENM_Melee_06,"ENM_Melee_06","1000.000000","240.000000","40.000000","1.800000","120.000000","CHASE","/Game/Blueprint/Enemy/Melee/BT_MeleeEnemy.BT_MeleeEnemy","0.200000","60","/Game/Blueprint/Enemy/Melee/BP_MeleeEnemy.BP_MeleeEnemy_C","False"
ENM_Ranged_01,"ENM_Ranged_01","350.000000","380.000000","8.000000","1.000000","400.000000","RANGED","/Game/Blueprint/Enemy/Ranged/BT_RangedEnemy.BT_RangedEnemy","1.500000","8","/Game/Blueprint/Enemy/Ranged/BP_RangedEnemy.BP_RangedEnemy_C","False"
ENM_Ranged_02,"ENM_Ranged_02","400.000000","200.000000","25.000000","2.500000","500.000000","RANGED","/Game/Blueprint/Enemy/Ranged/BT_RangedEnemy.BT_RangedEnemy","0.400000","30","/Game/Blueprint/Enemy/Ranged/BP_RangedEnemy.BP_RangedEnemy_C","False"
ENM_Ranged_03,"ENM_Ranged_03","250.000000","250.000000","12.000000","1.500000","350.000000","RANGED","/Game/Blueprint/Enemy/Ranged/BT_RangedEnemy.BT_RangedEnemy","1.000000","12","/Game/Blueprint/Enemy/Ranged/BP_RangedEnemy.BP_RangedEnemy_C","False"
ENM_Ranged_04,"ENM_Ranged_04","600.000000","180.000000","35.000000","3.000000","600.000000","RANGED","/Game/Blueprint/Enemy/Ranged/BT_RangedEnemy.BT_RangedEnemy","0.300000","50","/Game/Blueprint/Enemy/Ranged/BP_RangedEnemy.BP_RangedEnemy_C","False"
ENM_Ranged_05,"ENM_Ranged_05","200.000000","270.000000","10.000000","1.200000","300.000000","RANGED","/Game/Blueprint/Enemy/Ranged/BT_RangedEnemy.BT_RangedEnemy","1.200000","10","/Game/Blueprint/Enemy/Ranged/BP_RangedEnemy.BP_RangedEnemy_C","False"
ENM_Ranged_06,"ENM_Ranged_06","800.000000","160.000000","45.000000","3.500000","700.000000","RANGED","/Game/Blueprint/Enemy/Ranged/BT_RangedEnemy.BT_RangedEnemy","0.200000","70","/Game/Blueprint/Enemy/Ranged/BP_RangedEnemy.BP_RangedEnemy_C","False"
ENM_Elite_01,"ENM_Elite_01","700.000000","260.000000","25.000000","2.000000","450.000000","ELITE","/Game/Blueprint/Enemy/Elite/BT_EliteEnemy.BT_EliteEnemy","0.600000","40","/Game/Blueprint/Enemy/Elite/BP_EliteEnemy.BP_EliteEnemy_C","False"
ENM_Elite_02,"ENM_Elite_02","1200.000000","200.000000","45.000000","2.500000","500.000000","ELITE","/Game/Blueprint/Enemy/Elite/BT_EliteEnemy.BT_EliteEnemy","0.300000","70","/Game/Blueprint/Enemy/Elite/BP_EliteEnemy.BP_EliteEnemy_C","False"
ENM_Elite_03,"ENM_Elite_03","500.000000","320.000000","20.000000","1.500000","350.000000","ELITE","/Game/Blueprint/Enemy/Elite/BT_EliteEnemy.BT_EliteEnemy","0.800000","30","/Game/Blueprint/Enemy/Elite/BP_EliteEnemy.BP_EliteEnemy_C","False"
ENM_Elite_04,"ENM_Elite_04","1800.000000","180.000000","65.000000","3.000000","550.000000","ELITE","/Game/Blueprint/Enemy/Elite/BT_EliteEnemy.BT_EliteEnemy","0.150000","100","/Game/Blueprint/Enemy/Elite/BP_EliteEnemy.BP_EliteEnemy_C","False"
ENM_Boss_01,"ENM_Boss_01","5000.000000","200.000000","80.000000","2.000000","150.000000","BOSS","/Game/Blueprint/Enemy/Boss/BT_BossEnemy.BT_BossEnemy","0.050000","200","/Game/Blueprint/Enemy/Boss/BP_BossEnemy.BP_BossEnemy_C","True"
ENM_Boss_02,"ENM_Boss_02","8000.000000","180.000000","120.000000","2.500000","150.000000","BOSS","/Game/Blueprint/Enemy/Boss/BT_BossEnemy.BT_BossEnemy","0.030000","350","/Game/Blueprint/Enemy/Boss/BP_BossEnemy.BP_BossEnemy_C","True"
ENM_Boss_03,"ENM_Boss_03","3000.000000","240.000000","60.000000","1.500000","150.000000","BOSS","/Game/Blueprint/Enemy/Boss/BT_BossEnemy.BT_BossEnemy","0.070000","150","/Game/Blueprint/Enemy/Boss/BP_BossEnemy.BP_BossEnemy_C","True"
ENM_Boss_04,"ENM_Boss_04","12000.000000","160.000000","180.000000","3.000000","150.000000","BOSS","/Game/Blueprint/Enemy/Boss/BT_BossEnemy.BT_BossEnemy","0.020000","500","/Game/Blueprint/Enemy/Boss/BP_BossEnemy.BP_BossEnemy_C","True"
