---,CardID,CardType,StatType,StatModifier,PassiveID,Weight,DisplayName,Description,Icon
CARD_ATK_UP_1,CARD_ATK_UP_1,StatUpgrade,ATK,5,None,1.2,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_ATK_UP_DisplayName"", ""공격력 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""21D552654A20F2BC8BC73888D3071CBB"", ""공격력이 5 증가한다      "")",/Game/Assets/UIAsset/cyberpunk-energy-items/without_background/1.1
CARD_ATK_UP_2,CARD_ATK_UP_2,StatUpgrade,ATK,10,None,1.2,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_ATK_UP_DisplayName"", ""공격력 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_ATK_UP_Description"", ""공격력이 10 증가한다      "")",/Game/Assets/UIAsset/futuristic-plant-icon/background/1.1
CARD_ATK_UP_3,CARD_ATK_UP_3,StatUpgrade,ATK,15,None,1.2,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_ATK_UP_DisplayName"", ""공격력 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""6AD818D84D70D02BCCBC2A80D6DA3F35"", ""공격력이 15 증가한다      "")",/Game/Assets/UIAsset/cyberpunk-energy-items/background/2.2
CARD_ATK_UP_4,CARD_ATK_UP_4,StatUpgrade,ATK,20,None,1.2,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_ATK_UP_DisplayName"", ""공격력 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""5EA603FC4CE4B01BDAB3A28598844B5C"", ""공격력이 20 증가한다      "")",/Game/Assets/UIAsset/futuristic-plant-icon/background/2.2
CARD_DEF_UP_1,CARD_DEF_UP_1,StatUpgrade,DEF,5,None,1,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_DEF_UP_DisplayName"", ""방어력 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_DEF_UP_Description"", ""방어력이 5 증가한다       "")",/Game/Assets/UIAsset/rpg-currency-game/background/1.1
CARD_DEF_UP_2,CARD_DEF_UP_2,StatUpgrade,DEF,10,None,1,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_DEF_UP_DisplayName"", ""방어력 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""FA1AACDC4DE73544EBF599AD625E479A"", ""방어력이 10 증가한다"")",/Game/Assets/UIAsset/rpg-warlock-skill-icons/2.2
CARD_DEF_UP_3,CARD_DEF_UP_3,StatUpgrade,DEF,15,None,1,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_DEF_UP_3_DisplayName"", ""방어력 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_DEF_UP_3_Description"", ""방어력을 15 증가시킨다"")",/Game/Assets/UIAsset/rpg-warlock-skill-icons/4.4
CARD_DEF_UP_4,CARD_DEF_UP_4,StatUpgrade,DEF,20,None,1,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_DEF_UP_4_DisplayName"", ""방어력 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_DEF_UP_4_Description"", ""방어력을 20 증가시킨다"")",/Game/Assets/UIAsset/rpg-currency-game/background/2.2
CARD_HP_UP_1,CARD_HP_UP_1,StatUpgrade,MaxHP,20,None,1,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_HP_UP_DisplayName"", ""최대 체력 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_HP_UP_Description"", ""최대 체력이 10 증가한다  "")",/Game/Assets/UIAsset/cyberpunk-gloves-and-cloak/without_background/2.2
CARD_HP_UP_2,CARD_HP_UP_2,StatUpgrade,MaxHP,20,None,1,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_HP_UP_DisplayName"", ""최대 체력 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""2FF9A2C14997045A1414C49DFEAE305F"", ""최대 체력이 20 증가한다  "")",/Game/Assets/UIAsset/futuristic-plant-icon/without_background/2.2
