---,StageID,WaveIndex,StartTime,SpawnInterval,MaxAliveCount,SpawnEnemyIDs,SpawnWeights
STG_001_Wave_0,"STG_001","0","0.000000","3.000000","4","(""ENM_Melee_01"")","(1.000000)"
STG_001_Wave_1,"STG_001","1","20.000000","2.500000","6","(""ENM_Melee_01"",""ENM_Ranged_01"")","(1.000000,0.800000)"
STG_001_Wave_2,"STG_001","2","40.000000","2.000000","8","(""ENM_Melee_01"",""ENM_Ranged_01"",""ENM_Elite_01"")","(0.800000,0.800000,0.500000)"
STG_002_Wave_0,"STG_002","0","0.000000","3.000000","4","(""ENM_Melee_02"")","(1.000000)"
STG_002_Wave_1,"STG_002","1","25.000000","2.500000","6","(""ENM_Melee_02"",""ENM_Ranged_02"")","(1.000000,0.700000)"
STG_002_Wave_2,"STG_002","2","50.000000","2.000000","9","(""ENM_Melee_02"",""ENM_Ranged_02"",""ENM_Elite_02"")","(0.800000,0.700000,0.500000)"
STG_003_Wave_0,"STG_003","0","0.000000","2.800000","5","(""ENM_Melee_03"",""ENM_Ranged_03"")","(0.800000,0.800000)"
STG_003_Wave_1,"STG_003","1","25.000000","2.200000","8","(""ENM_Melee_03"",""ENM_Ranged_03"",""ENM_Elite_03"")","(0.700000,0.700000,0.500000)"
STG_003_Wave_2,"STG_003","2","55.000000","1.800000","11","(""ENM_Melee_03"",""ENM_Ranged_03"",""ENM_Elite_03"")","(0.600000,0.600000,0.600000)"
STG_004_Wave_0,"STG_004","0","0.000000","3.000000","5","(""ENM_Melee_04"",""ENM_Ranged_04"",""ENM_Elite_04"")","(0.600000,0.600000,0.400000)"
STG_004_Wave_1,"STG_004","1","40.000000","2.000000","8","(""ENM_Melee_04"",""ENM_Ranged_04"",""ENM_Elite_04"",""ENM_Boss_01"")","(0.500000,0.500000,0.300000,0.050000)"
STG_004_Wave_2,"STG_004","2","80.000000","1.500000","6","(""ENM_Boss_01"",""ENM_Melee_04"",""ENM_Ranged_04"")","(0.080000,0.300000,0.300000)"
STG_005_Wave_0,"STG_005","0","0.000000","3.000000","4","(""ENM_Melee_02"",""ENM_Ranged_02"")","(1.000000,0.700000)"
STG_005_Wave_1,"STG_005","1","25.000000","2.500000","6","(""ENM_Melee_02"",""ENM_Ranged_02"",""ENM_Elite_02"")","(0.800000,0.700000,0.500000)"
